Start Time,Year,Month,Day,Hour,Longitude,Latitude,Province Code,Reference Object,Hail Diameter (mm),Cosine Distances,Event
4/18/2005 9:15,2005,4,18,9,-96.7,49.72,MB,marble,16.0,0.0,0
5/7/2005 2:40,2005,5,7,2,-113.55,51.65,AB,quarter,24.0,1203.5186663512313,1
5/15/2005 21:00,2005,5,15,21,-109.47,53.1,SK,pea,8.0,320.40683317623564,2
5/15/2005 21:15,2005,5,15,21,-109.37,52.7,SK,pea,8.0,44.980919111703585,2
5/17/2005 0:15,2005,5,17,0,-113.05,53.02,AB,dime,18.0,249.57974229868645,3
5/19/2005 19:52,2005,5,19,19,-109.53,54.32,SK,nickel,21.0,273.20214854901093,4
5/19/2005 19:55,2005,5,19,19,-109.61,54.51,SK,estimated 19mm,19.0,21.751971807038505,4
5/20/2005 0:41,2005,5,20,0,-113.5,53.6,AB,pea,8.0,273.2833425267738,5
5/20/2005 1:03,2005,5,20,1,-113.1,53.44,AB,small grape,16.0,31.871790632117953,5
5/23/2005 19:25,2005,5,23,19,-105.25,53.75,SK,pea,8.0,518.9250345393723,6
5/23/2005 21:05,2005,5,23,21,-104.0,53.45,SK,pea,8.0,88.97036216954184,6
5/31/2005 1:45,2005,5,31,1,-118.43,55.17,AB,pea,8.0,953.5928243783281,7
5/31/2005 19:41,2005,5,31,19,-117.33,53.5,AB,smaller than dime,15.0,198.9124941712947,8
6/1/2005 20:00,2005,6,1,20,-100.48,49.18,MB,dime,18.0,1261.3491606796588,9
6/1/2005 21:28,2005,6,1,21,-100.03,51.13,MB,estimated half inch,13.0,219.1865181385348,9
6/1/2005 21:40,2005,6,1,21,-100.38,50.58,MB,pea,8.0,65.90751497252525,9
6/1/2005 21:46,2005,6,1,21,-100.48,49.18,MB,pea,8.0,155.8378842355007,9
6/1/2005 22:00,2005,6,1,22,-100.22,50.58,MB,pea,8.0,156.78359816582514,9
6/3/2005 19:20,2005,6,3,19,-100.48,51.13,MB,penny,19.0,63.822376788547956,10
6/4/2005 21:15,2005,6,4,21,-101.45,49.57,SK,pea,8.0,186.61472046528073,11
6/5/2005 22:40,2005,6,5,22,-113.42,49.12,AB,nickel,21.0,867.6771981402081,12
